temperature_c,pressure_mpa,catalyst_pct,yield_pct,energy_kwh
150,1.0,0.5,52.0,18.0
155,1.3,0.8,56.0,19.2
160,1.6,1.1,61.0,20.5
165,1.9,1.4,65.0,22.1
170,2.2,1.7,70.0,23.8
175,2.5,2.0,73.0,25.7
180,1.1,0.8,64.0,21.0
185,1.4,1.1,69.0,22.5
190,1.7,1.4,75.0,24.1
195,2.0,1.7,81.0,26.0
200,2.3,2.0,86.0,28.2
205,2.6,0.5,76.0,29.1
210,1.2,1.1,78.0,25.0
215,1.5,1.4,84.0,27.0
220,1.8,1.7,90.0,29.1
225,2.1,2.0,93.0,31.4
230,2.4,0.5,79.0,32.0
235,2.7,0.8,83.0,34.2
240,1.3,1.4,86.0,31.0
150,1.6,1.7,61.0,20.9
160,2.0,2.0,68.0,23.0
170,2.4,0.5,62.0,24.0
180,2.8,1.1,72.0,27.4
190,3.2,1.7,82.0,30.6
200,3.6,0.8,78.0,33.0
210,3.0,1.4,88.0,32.1
220,3.4,2.0,95.0,35.5
230,1.0,1.1,80.0,27.8
240,1.8,1.7,91.0,33.6
205,2.1,1.5,85.0,28.0
